intent,rewritten_intent,snippet,question_id
Python: How do I format a date in Jinja2?,Jinja parse datetime object `car.date_of_manufacture` to use format pattern `datetime`,{{car.date_of_manufacture | datetime}},4830535
Python: How do I format a date in Jinja2?,Get the date object `date_of_manufacture` of object `car` in string  format '%Y-%m-%d',{{car.date_of_manufacture.strftime('%Y-%m-%d')}},4830535
Making a flat list out of list of lists,make a flat list from list of lists `sublist`,[item for sublist in l for item in sublist],952914
Making a flat list out of list of lists,make a flat list from list of lists `list2d`,list(itertools.chain(*list2d)),952914
Making a flat list out of list of lists,make a flat list from list of lists `list2d`,list(itertools.chain.from_iterable(list2d)),952914
Convert int to ASCII and back in Python,convert ascii value 'a' to int,ord('a'),3673428
Python: use regular expression to remove the white space from all lines,replace white spaces in string '  a\n b\n c\nd  e' with empty string '',"re.sub('(?m)^[^\\S\\n]+', '', '  a\n b\n c\nd  e')",3984539
Python: use regular expression to remove the white space from all lines,remove white spaces from all the lines using a regular expression in string 'a\n b\n c',"re.sub('(?m)^\\s+', '', 'a\n b\n c')",3984539
Python: Assign each element of a List to a separate Variable,"destruct elements of list `[1, 2, 3]` to variables `a`, `b` and `c`","a, b, c = [1, 2, 3]",19300174
Python split a list into subsets based on pattern,split list `mylist` into a list of lists whose elements have the same first five characters,"[list(v) for k, v in itertools.groupby(mylist, key=lambda x: x[:5])]",13368723
Regular expression substitution in Python,remove all instances of parenthesesis containing text beginning with `as ` from string `line`,"line = re.sub('\\(+as .*?\\) ', '', line)",37584492
How to skip the extra newline while printing lines read from a file?,skip the newline while printing `line`,print(line.rstrip('\n')),17027690
Get index values of Pandas DataFrame as list?,get index values of pandas dataframe `df` as list,df.index.values.tolist(),18358938
check if a list is empty,check if list `a` is empty,"if (not a):
    pass",53513
check if a list is empty,check if list `seq` is empty,"if (not seq):
    pass",53513
check if a list is empty,check if list `li` is empty,"if (len(li) == 0):
    pass",53513
Find the indices of elements greater than x,create a list containing the indices of elements greater than 4 in list `a`,"[i for i, v in enumerate(a) if v > 4]",13717463
sorting list of nested dictionaries in python,reverse list `yourdata`,"sorted(yourdata, reverse=True)",13237941
sorting list of nested dictionaries in python,sort list of nested dictionaries `yourdata` in reverse based on values associated with each dictionary's key 'subkey',"sorted(yourdata, key=lambda d: d.get('key', {}).get('subkey'), reverse=True)",13237941
sorting list of nested dictionaries in python,sort list of nested dictionaries `yourdata` in reverse order of 'key' and 'subkey',"yourdata.sort(key=lambda e: e['key']['subkey'], reverse=True)",13237941
How to remove decimal points in pandas,remove decimal points in pandas data frame using round,df.round(),37084812
How to extract data from matplotlib plot,Get data from matplotlib plot,gca().get_lines()[n].get_xydata(),8938449
How to get the N maximum values per row in a numpy ndarray?,get the maximum 2 values per row in array `A`,"A[:, -2:]",37125495
MultiValueDictKeyError in Django,"Get value for  ""username"" parameter in GET request  in Django","request.GET.get('username', '')",23531030
Any way to properly pretty-print ordered dictionaries in Python?,pretty-print ordered dictionary `o`,pprint(dict(list(o.items()))),4301069
Django can't find URL pattern,Confirm urls in Django properly,"url('^$', include('sms.urls')),",32458541
Django can't find URL pattern,Configure url in django properly,"url('^', include('sms.urls')),",32458541
Pythonic way to get the largest item in a list,get the tuple in list `a_list` that has the largest item in the second index,"max_item = max(a_list, key=operator.itemgetter(1))",1874194
Pythonic way to get the largest item in a list,find tuple in list of tuples `a_list` with the largest second element,"max(a_list, key=operator.itemgetter(1))",1874194
How to iterate over time periods in pandas,resample series `s` into 3 months bins and sum each bin,"s.resample('3M', how='sum')",29100599
how to extract elements from a list in python?,"extract elements at indices (1, 2, 5) from a list `a`","[a[i] for i in (1, 2, 5)]",2621674
Python: Filter lines from a text file which contain a particular word,filter lines from a text file 'textfile' which contain a word 'apple',[line for line in open('textfile') if 'apple' in line],5245058
How to convert a Date string to a DateTime object?,convert a date string `s` to a datetime object,"datetime.datetime.strptime(s, '%Y-%m-%dT%H:%M:%SZ')",2721782
"Reading tab-delimited file with Pandas - works on Windows, but not on Mac",reading tab-delimited csv file `filename` with pandas on mac,"pandas.read_csv(filename, sep='\t', lineterminator='\r')",27896214
Replace first occurence of string,replace only first occurence of string `TEST` from a string `longlongTESTstringTEST`,"'longlongTESTstringTEST'.replace('TEST', '?', 1)",4628618
How can I zip file with a flattened directory structure using Zipfile in Python?,zip file `pdffile` using its basename as directory name,"archive.write(pdffile, os.path.basename(pdffile))",12777222
"Elegant way to create a dictionary of pairs, from a list of tuples?",create a dictionary of pairs from a list of tuples `myListOfTuples`,dict(x[1:] for x in reversed(myListOfTuples)),3457673
How to subtract two lists in python,subtract elements of list `List1` from elements of list `List2`,"[(x1 - x2) for x1, x2 in zip(List1, List2)]",8194156
How to tell if string starts with a number?,check if string `string` starts with a number,string[0].isdigit(),5577501
How to tell if string starts with a number?,"Check if string `strg` starts with any of the elements in list ('0', '1', '2', '3', '4', '5', '6', '7', '8', '9')","strg.startswith(('0', '1', '2', '3', '4', '5', '6', '7', '8', '9'))",5577501
How can I find script's directory with Python?,print script's directory,print(os.path.dirname(os.path.realpath(__file__))),4934806
Finding the surrounding sentence of a char/word in a string,"split string `text` by the occurrences of regex pattern '(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)'","re.split('(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)', text)",15530399
"Plotting a list of (x, y) coordinates in python matplotlib",Make a scatter plot using unpacked values of list `li`,plt.scatter(*zip(*li)),21519203
Rearrange tuple of tuples in Python,rearrange tuple of tuples `t`,tuple(zip(*t)),16040156
Find Average of Every Three Columns in Pandas dataframe,Get average for every three columns in `df` dataframe,"df.groupby(np.arange(len(df.columns)) // 3, axis=1).mean()",40963347
How do I convert a list of ascii values to a string in python?,convert a list `L` of ascii values to a string,""""""""""""".join(chr(i) for i in L)",180606
Python 2.7 Counting number of dictionary items with given value,count the number of pairs in dictionary `d` whose value equal to `chosen_value`,sum(x == chosen_value for x in list(d.values())),13462365
Python 2.7 Counting number of dictionary items with given value,count the number of values in `d` dictionary that are predicate to function `some_condition`,sum(1 for x in list(d.values()) if some_condition(x)),13462365
convert double to float in Python,convert double 0.00582811585976 to float,"struct.unpack('f', struct.pack('f', 0.00582811585976))",13291539
Converting datetime.date to UTC timestamp in Python,convert datetime.date `dt` to utc timestamp,"timestamp = (dt - datetime(1970, 1, 1)).total_seconds()",8777753
Custom sorting in pandas dataframe,sort column `m` in panda dataframe `df`,df.sort('m'),13838405
How to sort with lambda in Python,Sort a data `a` in descending order based on the `modified` attribute of elements using lambda function,"a = sorted(a, key=lambda x: x.modified, reverse=True)",3766633
How can I print the Truth value of a variable?,print the truth value of `a`,print(bool(a)),39604780
How can I change a specific row label in a Pandas dataframe?,rename `last` row index label in dataframe `df` to `a`,df = df.rename(index={last: 'a'}),42142756
Scikit-learn: How to run KMeans on a one-dimensional array?,Fit Kmeans function to a one-dimensional array `x` by reshaping it to be a multidimensional array of single values,"km.fit(x.reshape(-1, 1))",28416408
sorting a list in python,Sort a list of strings 'words' such that items starting with 's' come first.,"sorted(words, key=lambda x: 'a' + x if x.startswith('s') else 'b' + x)",17608210
login to a site using python and opening the login site in the browser,open the login site 'http://somesite.com/adminpanel/index.php' in the browser,webbrowser.open('http://somesite.com/adminpanel/index.php'),21414159
"Pythonic way to fetch all elements in a dictionary, falling between two keys?","fetch all elements in a dictionary `parent_dict`, falling between two keys 2 and 4","dict((k, v) for k, v in parent_dict.items() if 2 < k < 4)",8654637
"Pythonic way to fetch all elements in a dictionary, falling between two keys?",fetch all elements in a dictionary 'parent_dict' where the key is between the range of 2 to 4,"dict((k, v) for k, v in parent_dict.items() if k > 2 and k < 4)",8654637
python sorting two lists,sort two lists `list1` and `list2` together using lambda function,"[list(x) for x in zip(*sorted(zip(list1, list2), key=lambda pair: pair[0]))]",13668393
number of values in a list greater than a certain number,get the number of values in list `j` that is greater than 5,sum(((i > 5) for i in j)),10543303
number of values in a list greater than a certain number,get the number of values in list `j` that is greater than 5,len([1 for i in j if (i > 5)]),10543303
number of values in a list greater than a certain number,get the number of values in list `j` that is greater than `i`,"j = np.array(j)
sum((j > i))",10543303
Python: elegant way of creating a list of tuples?,"zip list `a`, `b`, `c` into a list of tuples","[(x + tuple(y)) for x, y in zip(zip(a, b), c)]",12655007
