intent,snippet
remove items from the list while iterates,somelist[:] = [x for x in somelist if not determine(x)]
turning from a rope to boolean into a python?,str2bool('no')
"release an exception ""i know python!""",raise Exception('I know Python!')
how can i restrict the scope of a multiprocessing process?,"mp.Process(target=foo, args=(x,)).start()"
how do i un-skip a python-staired rope?,"print('""Hello,\\nworld!""'.decode('string_escape'))"
take screenshot'screen.png' on mac os x,os.system('screencapture screen.png')
python: find the difference between two dictionaries containing lists,"{key: list(set(a[key]).difference(b.get(key, []))) for key in a}"
remove pairs of nuppy array elements that are nan (or other value) in python,np.isnan(a).any(1)
interactive matplotlib graphic with two sliders,"ax.set_xlim([0, 1])"
how to get seconds from the time of time + departure from the date of gmtime() in python?,time.mktime(time.gmtime(0))
how to display complete (not truncated) dataframe information in html when converting from pandas dataframe to html?,"pd.set_option('display.max_colwidth', -1)"
combining two lists sorted in python,"[2.860386848449707, 2.758984088897705, 2.768254041671753]"
how to convert the current date to the time mark of the time period?,"t = time.mktime(time.strptime('29.08.2011 11:05:02', '%d.%m.%Y %H:%M:%S'))"
how should i take the maximum of 2 columns in a data frame and do it another column?,"df[['A', 'B']].max(axis=1)"
a single nested line for loops,"[50.1, 50.2, 50.3, 50.4, 60.1, 60.2, 60.3, 60.4, 70.1, 70.2, 70.3, 70.4]"
python: how can i convert a string matrix to a number matrix?,"map(int, ['1', '-1', '1'])"
delete mulitple columns in pandas,"yourdf.drop(['columnheading1', 'columnheading2'], axis=1, inplace=True)"
decode a chain url escape url `url` with `utf8 ',url = urllib.parse.unquote(url).decode('utf8')
"python, encoding output to utf-8",content.decode('utf8')
wxpython: do something expand,self.SetSizer(sizer)
how to round each item in a list of floats to 2 decmial places,"myRoundedList = [round(elem, 2) for elem in myList]"
sorting the dictionary keys in python,"my_list = sorted(list(dict.items()), key=lambda x: x[1])"
piton - check if one list is a subset of the other,"set([1, 2, 2]).issubset([1, 2])"
print a large integer with punctures with the format of mini-language python3 string,"format(x, ',').replace(',', '.')"
using selenium extensions (piton),driver.get('http://stackoverflow.com')
average calcuate for selected rows for selected columns in pandas data frame,"df.iloc[:, ([2, 5, 6, 7, 8])]"
how to find overlaps with a regexp?,"re.findall('(?=(\\w\\w))', 'hello')"
group per date time interval using pandas,"df['data'] = pd.to_datetime(df['data'], format='%d/%b/%Y:%H:%M:%S')"
what is the difference between a chain and a chain of bytes?,"""""""I am a string"""""".decode('ASCII')"
find row or column containing maximum value in array numpy,"np.argmax(np.max(x, axis=0))"
replace code per cent encoded in request `f` to its single character equivalent,"f = urllib.request.urlopen(url, urllib.parse.unquote(urllib.parse.urlencode(params)))"
how can i update an instance of a django model with request.post if the post is a nested matrix?,form.save()
python right menu button using pygtk,menu = gtk.Menu()
how can i add an additional row and column to a matrix?,"L.append([7, 8, 9])"
compare multiple columns in the nuppy array,"y[:, (cols)].sum()"
write a list of sentences to a single column in csv with python,writer.writerow([item])
update all models at once in django,Model.objects.all().order_by('some_field').update(position=F(some_field) + 1)
how to create a nested list from the flattened list?,"[['a', 'b', 'c'], ['d', 'e', 'f', 'g'], ['d', 's', 'd', 'a']]"
ranking or find maximum value for the second item in a nested list. python,"max(alkaline_earth_values, key=lambda x: x[1])"
add scroll to platform game in pygame,pygame.display.set_caption('Use arrows to move!')
python - sort the words in alphabetical order,sentence = [word.lower() for word in sentence]
"pandas sum per groupby, but exclude certain columns","df.groupby(['Country', 'Item_Code'])[['Y1961', 'Y1962', 'Y1963']].sum()"
"in python, is there a concise way to use a list understanding with multiple iterators?","list(itertools.product(list(range(1, 3)), list(range(1, 5))))"
how to remove ^m from a text file and replace it with the following line,"somestring.replace('\\r', '')"
"sort a list of tuples by second value, reverse=true and then by key, reverse=false","sorted(d, key=lambda x: (-x[1], x[0]))"
how to make a simple web browser cross-platform with python?,sys.exit(app.exec_())
request ‘https://www.reporo.com/’ without checking ssl certificates,"requests.get('https://www.reporo.com/', verify=False)"
how to create a bar chart that is understandable with matplotlib for more than 100 values?,"plt.savefig('foo.pdf', papertype='a2')"
find an item in the list of tuples,[item for item in a if item[0] == 1]
"how to make a ""range"" inverse, that is, create a compact range based on a set of numbers?","['1-5', '7', '9-10']"
django: redirect to previous page after login,"return HttpResponseRedirect(request.META.get('HTTP_REFERER', '/'))"
write a comment for the a\n` class data to a `f` file object,f.write('# Data for Class A\n')
showing a gtk.calendar on a menu?,gtk.main()
how to extract information between two unique words in a large text file,"re.findall('alpha(.*?)bravo', st)"
combinatory explosion by merging data frames into pandas,"from functools import reduce
reduce(lambda x, y: x.combine_first(y), [df1, df2, df3])"
how can i generate a list of consecutive numbers?,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
how to get all keys with the same higher value?,"['e', 'd']"
python: change the path of idleness in win7,sys.path.append('.')
pitonic shape to create a long multi-line chain,"""""""this is a verylong string toofor sure ..."""""""
boxplot with variable length data in matplotlib,plt.show()
read the file'myfile.txt' using the universal mode of newline 'u',"print(open('myfile.txt', 'U').read())"
how to download to a specific directory with python?,"urllib.request.urlretrieve('http://example.com/file.ext', '/path/to/dir/filename.ext')"
to assign a value to the python list doesn't work?,l.append(input('e' + str(i) + '='))
get data from the matplotlib plot,gca().get_lines()[n].get_xydata()
lxml removes spaces and line breaks in <head>,"etree.tostring(e, pretty_print=True)"
how can i extract only text in the scraper selector in python,"site = ''.join(hxs.select(""//h1[@class='state']/text()"").extract()).strip()"
drop dataframe rows `df` whose index is less than the value of `start_remove` or greater than the value of `end_remove`,df.query('index < @start_remove or index > @end_remove')
adds a list of numbers `list_of_nums`,sum(list_of_nums)
delete file `filename`,os.remove(filename)
sum of square values in a list `l`,sum(i * i for i in l)
i want to create a column of value_accounts in my pandas data frame,df['Counts'] = df.groupby(['Color'])['Value'].transform('count')
how to get the size of a rope in python?,print(len('abc'))
how to execute a prompt command from python,os.system('dir c:\\')
applying regex to a pandas data frame,df['Season'].apply(split_it)
detect characters not ascii in unicode string,"print(re.sub('[ -~]', '', '\xa3100 is worth more than \u20ac100'))"
is there a way to disable the timelines built into the dev_appserver application engine?,urlfetch.set_default_fetch_deadline(60)
is it possible to make an option in optparse a mandatory?,"parser.add_option('-f', '--file', dest='filename', help='foo help')"
insert a new field 'geoloccountry' into an existing document 'b' using pymongo,"db.Doc.update({'_id': b['_id']}, {'$set': {'geolocCountry': myGeolocCountry}})"
adjusting the function of kmeans to a one-dimensional matrix `x` reconfiguring it to be a multidimensional matrix of unique values,"km.fit(x.reshape(-1, 1))"
order dict by value python,"sorted(list(data.items()), key=lambda x: x[1])"
write a regex pattern to match the letter pair number `a`,re.compile('^([^A]*)AA([^A]|AA)*$')
hexadecimal chain to character in python,binascii.unhexlify('437c2123')
making an image of the list,img.save('Image2.png')
how to find a missing number from the list,a[-1] * (a[-1] + a[0]) / 2 - sum(a)
'info' level registration message with the `date' value in the message,logging.info('date={}'.format(date))
replace the value in any column in pandas data frame,"df.replace('-', 'NaN')"
sorting the dictionary keys in python,"sorted(mydict, key=lambda key: mydict[key])"
longer chains on the list,longest_strings = [s for s in stringlist if len(s) == maxlength]
how can i plot a passing function with matplotlib in python?,plt.show()
encoding url in python,urllib.parse.quote_plus('a b')
how to remove more than one space when reading the text file,"reader = csv.reader(f, delimiter=' ', skipinitialspace=True)"
python parse number separated by comma int,"int(a.replace(',', ''))"
"check if the string `s` contains ""is""","if (s.find('is') == (-1)):
    print(""No 'is' here!"")
else:
    print(""Found 'is' in the string."")"
how do you intergrade python gtk with gevent?,gtk.main()
new column in pandas - adding series to dataframe by applying a list groupby,"df.join(df.groupby('Id').concat.apply(list).to_frame('new'), on='Id')"
piton dividing a list based on a delimiting word,"[['A'], ['WORD', 'B', 'C'], ['WORD', 'D']]"
efficient reduction of characteristic in pandas data frame,df['Features'] = df['Features'].apply(frozenset)
"in python, how can i get the path correctly-cased for a file?",win32api.GetLongPathName(win32api.GetShortPathName('stopservices.vbs'))
run raw sql queue '<sql here>' in the database `db` in the application sqlalchemy-flask,result = db.engine.execute('<sql here>')
the boolean indexation that can produce a view to a large pandas data frame?,idx = (df['C'] != 0) & (df['A'] == 10) & (df['B'] < 30)
how to get a response from multiple objects using rest_framework and django,"url('^combined/$', views.CombinedAPIView.as_view(), name='combined-list')"
how to convert hexagonal chain to integer into python?,"y = str(int(x, 16))"
make the python program wait,time.sleep(1)
back status code http 204 from a django view,return HttpResponse(status=204)
unwinding the thread in python,t.start()
django get all the records of related models,Activity.objects.filter(list__topic=my_topic)
convert integer to binary into python,bin(6)[2:].zfill(8)
"add a string array `['x', 'x', 'x']` in a string",""""""""""""".join(['x', 'x', 'x'])"
how to print as printf in python3?,"print('a=%d,b=%d' % (f(x, n), g(x, n)))"
using color maps to set the color of the line in matplotlib,plt.show()
delete rows on the nuppy array,"x = numpy.delete(x, 2, axis=1)"
get the value of the index in the list `p_list` using enumerate in the understanding of the list,"{p.id: {'id': p.id, 'position': ind} for ind, p in enumerate(p_list)}"
read the excel file `file_name` using pandas,"dfs = pd.read_excel(file_name, sheetname=None)"
how to rearrange the sequence of pandas column?,"['a', 'b', 'x', 'y']"
google application engine (python) - upload a file (image),imagedata.image = str(self.request.get('image'))
how to decode a unicode-chain as in python 3?,"codecs.decode('\\u000D', 'unicode-escape')"
how can i convert literal escape sequences into a string to the corresponding bytes?,"""""""\\xc3\\x85a"""""".encode('utf-8').decode('unicode_escape')"
what is the equivalent of '*' for beautifulsoup - find_all?,soup.select('tr.colour.blue')
create a list of integers with duplicate values in python,"['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c', 'd', 'd', 'd', 'e', 'e', 'e']"
