intent,snippet
python propertymock side effect with attributeerror and valueerror,import mock
holiday files for g20 countries,"cal.holidays(2013)
cal.is_working_day(date(2013, 12, 25))
cal.is_working_day(date(2013, 12, 29))
cal.is_working_day(date(2013, 12, 26))"
raw_input without leaving a history in readline,"import readline

def raw_input_no_history():
    input = input()
readline.remove_history_item(readline.get_current_history_length() - 1)
return input"
dictionary comprehension with inline functions,d[3](1)
adding folders to a zip file using python,import zipfile
best way to make flask-login's login_required the default,"def check_valid_login():
    login_valid = 'user' in session
if request.endpoint and 'static' not in request.endpoint and not login_valid and not getattr(
    app.view_functions[request.endpoint], 'is_public', False):
    return render_template('login.html', next=request.endpoint)"
how do i convert a currency string to a floating point number in python?,"from decimal import Decimal
money = '$6,150,593.22'
value = Decimal(sub('[^\\d.]', '', money))"
how to plot line (polygonal chain) with numpy/scipy/matplotlib with minimal smoothing,"plt.plot(x, y, 'bo')
plt.ylim(0, 25)
plt.grid(True)
plt.show()"
how to create a generator/iterator with the python c api?,"import spam
for i in spam.myiter(10):
    pass"
intermediate variable in a list comprehension for simultaneous filtering and transformation,"a.append((float(k), float(j)))"
"python 2.6, 3 abstract base class misunderstanding","class Empty:

    def __init__(self):
        pass


class C1(Empty, Foo):
    pass


class C2(OrderedDict, Foo):
    pass"
is there a faster way to add two 2-d numpy array,a[3:8]
pythonic way to check if: all elements evaluate to false -or- all elements evaluate to true,"def all_bools_equal(lst):
    pass"
how do you get all the rows from a particular table using beautifulsoup?,cells = row.findChildren('td')
how to make an action happen every minute in python,"while game.running:
    t1 = time.time()
if t1 - t0 >= 60.0:
    game.wood += 1
t0 = t1
game.process()"
python: getting rid of \u200b from a string using regular expressions,"import codecs
f = codecs.open('a.txt', encoding='utf-8', mode='w')
f.write('used\u200bZero')"
is there a generator version of `string.split()` in python?,"sample2 = ' Good evening, world! '"
how to join these two lists in python to form a path?,"choices = ['django', 'genelaytics', '/etc/passwd']
os.path.join(*choices)"
create thumbnail images for jpegs with python,"import os, sys
import Image
size = 128, 128"
how to access (and edit) variables from a callback function?,"def myfunc():
    stuff = [17]

def lfun(arg):
    print('got arg', arg, 'and stuff[0] is', stuff[0])
stuff[0] += 1
return lfun
my_function = myfunc()
my_function('hello')
my_function('hello')"
selenium with ghostdriver in python on windows,phantomjs_path = 'C:\\Python27\\misc\\phantomjs-1.9.7-windows\\phantomjs.exe'
using a python dict for a sql insert statement,"columns_string = '(' + ','.join(list(myDict.keys())) + ')'"
search of dictionary keys python,filteredKeys = [key for key in list(aDict.keys()) if searchString in key]
how to color surface with stronger contrast,C = Z
"readability of scientific python code (line continuations, variable names, imports)",cost = opts['weightcost_pretrain'].dot(net['weights'][ix1][ix2])
how to properly convert a c ioctl call to a python fcntl.ioctl call?,fd.close()
how to raise a numpy.matrix to non-integer power?,A = logm(M) * x
how do i specify a single test in a file with nosetests?,"def test_something(self):
    pass

def test_something_else(self):
    pass"
plotting from pivot table using pandas,"plt.plot(t[[0]], color='red')
plt.plot(t[[1]], color='blue')
plt.xticks(list(range(2)), ['one', 'two'], size='small')
plt.show()"
edit the value of every nth item in a list,"l = np.array([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])
l[1::2] += 1"
vectorizing a for loop in numpy/scipy?,"M = NP.random.randint(10, 99, 40).reshape(8, 5)
ndx = NP.where(NP.sum(M, 0) % 2 == 0)"
is there any advantage to using demorgan law in python?,not A or not (B and C)
skew a diagonal gradient to be vertical,"j_shift = np.interp(g[:, (0)], g[(0), :], np.arange(n))"
get description of an installed package without actual importing it,"for modname in list(sys.modules):
    if modname not in modules_copy:
        pass"
examples of entry_point usage,"if have_setuptools:
    extra_arguments = dict(zip_safe=False, test_suite='babel.tests.suite',
        tests_require=['pytz'], entry_points=
        """"""
        [console_scripts]
        pybabel = babel.messages.frontend:main
        [distutils.commands]
        compile_catalog = babel.messages.frontend:compile_catalog
        extract_messages = babel.messages.frontend:extract_messages
        init_catalog = babel.messages.frontend:init_catalog
        update_catalog = babel.messages.frontend:update_catalog
        [distutils.setup_keywords]
        message_extractors = babel.messages.frontend:check_message_extractors
        [babel.checkers]
        num_plurals = babel.messages.checkers:num_plurals
        python_format = babel.messages.checkers:python_format
        [babel.extractors]
        ignore = babel.messages.extract:extract_nothing
        python = babel.messages.extract:extract_python
        javascript = babel.messages.extract:extract_javascript
        """"""
        )"
how does a descriptor with __set__ but without __get__ work?,"print(('set', self.name))


class Test:
    pass"
how do i mark a python package as python 2 only?,"import sys
if sys.version_info[0] != 2:
    sys.stderr.write('This package only supports Python 2.\n')
sys.exit(1)"
convert float to int and leave nulls,"import pandas as pd
import numpy as np
df = pd.DataFrame({'a': [1, 5, 5], 'b': [np.NaN, 7200.0, 580.0], 'c': [3, 
    20, 20]})
print((df, '\n\n'))
df['b'] = np.nan_to_num(df['b']).astype(int)"
how can i add certain values that were produced in a 'while' loop using python,"a, b = b, a + b"
using static methods in python - best practice,"class Entity(object):

    def __init__(self, id, db_connection, data=None):
        self.id = id
self.db_connection = db_connection
if data is None:
    self.data = self.from_id(id, db_connection)
else:
    pass"
how to instantiate a template method of a template class with swig?,"wd.fooi(7)
wi.food(2.5)
wd.food(2.5)"
python - find dominant/most common color in an image,"c = ar.copy()
for i, code in enumerate(codes):
    c[(scipy.r_[scipy.where(vecs == i)]), :] = code
scipy.misc.imsave('clusters.png', c.reshape(*shape))
print('saved clustered image')"
python multiprocessing pool with map_async,pool.join()
how can i add certain values that were produced in a 'while' loop using python,"while b < 4000000:
    if not b % 2:
        pass"
creating a log-linear plot in matplotlib using hist2d,np.random.seed(1977)
does python's imaplib let you set a timeout?,"imap = imaplib.IMAP4('test.com', 666)"
how to speed up python loop,"if a == b and c == d:
    return [i, j], [i2, j2]"
python password rules validation,return True
saving zip list to csv in python,"writer = csv.DictWriter(output, fieldnames=['date', 'v'])"
how do i remove punctuation from an item in a list and save it as a separate item in the list?,"def separate(mylist):
    newlist = []
test = ''
a = ''
for e in mylist:
    for c in e:
        if not c.isalpha():
            a = c
else:
    test = test + c
if a != '':
    newlist = newlist + [test] + [a]
else:
    newlist = newlist + [test]
test = ''
a = ''
noduplicates = []
for i in newlist:
    if i not in noduplicates:
        noduplicates = noduplicates + [i]
return noduplicates"
how to access a superclass's class attributes in python?,"class A:
    pass"
python: how to get numbers after decimal point?,b = a - numpy.fix(a)
interleave rows of two numpy arrays in python,"numpy.dstack((A, B)).transpose(0, 2, 1).reshape(A.shape[0] * 2, A.shape[1])"
how do i efficiently filter computed values within a python list comprehension?,"for item in mylist:
    pass"
windows progress bar in python's tkinter,"root = Tk()
progressbar = ttk.Progressbar(orient=HORIZONTAL, length=200, mode='determinate'
    )
progressbar.pack(side='bottom')
progressbar.start()"
non-trivial sums of outer products without temporaries in numpy,"m2 = np.average(m, 0)
vals = np.zeros(N)
for i in range(N):
    u = nhat[i]
if u[0] >= 0 and u[1] >= 0 and u[2] >= 0:
    vals[i] = abs(np.dot(u, m2))
else:
    for j in range(M):
        vals[i] += abs(np.dot(u, m[j]))
vals[i] /= M"
split a dictionary into 2 dictionaries,"d = {'key1': 1, 'key2': 2, 'key3': 3, 'key4': 4, 'key5': 5}
d1 = dict(list(d.items())[len(d) / 2:])
d2 = dict(list(d.items())[:len(d) / 2])"
creating publication quality tables in python,of.write('<html><table>')
is there an easy way to capture all frame/window keystrokes in python or wxpython,"self.panel = wx.Panel(self, wx.ID_ANY)"
open a list of files using with/as context manager,return self.l
gzip fails at writing high amount of data in file,"def chunks(l, n):
    pass"
how do i use python to easily expand variables to strings?,"from string import Template
t = Template('$name is a $adjective $noun that $verb')
t.substitute(name='Lionel', adjective='awesome', noun='dude', verb='snores')"
how to compare type of an object in python?,"if isinstance(obj, MyClass):
    pass"
count characters in a string from a list of characters,c = Counter(s)
matching blank lines with regular expressions,"re.split('(?m)^\\s*$\\s*', text)"
python configuration file: any file format recommendation? ini format still appropriate? seems quite old school,"if __name__ == '__main__':
    pass"
automate the populating of subplots,"for ax, label in zip(axes[:, (0)], ['E', 'F', 'G', 'H']):
    ax.set_ylabel(label, size=20)"
comparing numpy datatypes to strings,"np.issubdtype(np.int32, float)
np.issubdtype(float, np.floating)"
pandas drop rows outside of time range,"df = pd.DataFrame(ts)
df.ix[df.index.indexer_between_time(datetime.time(10), datetime.time(14))]"
default value of parameter as result of instance method,"class Example(object):

    def __init__(self, data=None):
        self.data = self.default_data() if data is None else data"
using beautifulsoup to search through yahoo finance,"""""""598.56B"""""""
sending notifications with gobjects,"Notify.init('myapp')
n = Notify.Notification.new('summary text', 'body text', 'dialog-information')"
how do i configure tastypie to treat a field as unique?,"return super(FooResource, self).post_list(request, **kwargs)"
dynamically define a function,"xdata = np.array([1, 3, 6, 8, 10])"
how to change any data type into a string in python,myvariable = 4
"in python, how to do unit test on a function without return value?",self._old_stdout = sys.stdout
get subset of most frequent dummy variables in pandas,"s = pd.Series(list('aabccc'))
s
s.value_counts()"
download a zip file and extract it in memory using python3,zipDocment.extractall()
how to find all the intersection points between two contour-set in an efficient way,"y11, y21 = np.meshgrid(A[:-1, (1)], B[:-1, (1)])"
python mysql.connector dictcursor?,"return None
db = mysql.connector.connect(user='root', database='test')
cursor = db.cursor(cursor_class=MySQLCursorDict)"
"how to get the 5 tuples with the highest values, from the following vector?","data = np.array(vector, dtype=types)
np.sort(data, order='f1')[-5:][::-1]"
using python weakset to enable a callback functionality,a1.destroyCallback.add(b)
why inserting keys in order into a python dict is faster than doint it unordered,"def get_test_data(num, size):
    olist, ulist = [], []
for _ in range(num):
    nums = list(range(size))
random.shuffle(nums)
utest = [str(i) for i in nums]
otest = list(utest)
otest.sort(key=lambda x: int(x))
olist.append(otest)
ulist.append(utest)
return olist, ulist"
how to preview a part of a large pandas dataframe?,start_row = 1 if df.index.names[0] is None else 2
numpy argmax with max less than some number,"a
m = a < 1"
how to make python's argparse generate non-english text?,parser = argparse.ArgumentParser()
python -- regex -- how to find a string between two sets of strings,"import re
data = """"""
<div id=hotlinklist>
  <a href=""foo1.com"">Foo1</a>
  <div id=hotlink>
    <a href=""/"">Home</a>
  </div>
  <div id=hotlink>
    <a href=""/extract"">Extract</a>
  </div>
  <div id=hotlink>
    <a href=""/sitemap"">Sitemap</a>
  </div>
</div>
"""""""
